Docker Container,CPU Mean,CPU Max
son-gtkcsrv,0.006369426751592,0.6547222
son-gtkusr,0.541401275796178,6.342105
son-gtkfnct,0.012738853503185,0.6580644
son-gui,0.002123142250531,0.6579036
sdn-plugin,0.127388535031847,1.2975028
son-sec-gw,0,0
son-postgres,3.36518046836518,16.760866
son-keycloak,1.01486199490446,20.42104
son-broker,4.08280432208068,12.972117
servicelifecyclemanagement,7.98228454946922,19.563766
son-gtksrv,0.819532912526539,6.2615318
son-gtkapi,0.842000614861996,5.3208789
placementplugin,1.68152952101911,5.590251
son-gtkpkg,0.008492569002123,0.6576484
son-bss,0.023354564755839,0.6573807
son-monitor-influxdb,8.9627553403397,126.53755
son-monitor-prometheus,31.3471598091295,219.72059
pluginmanager,0.033970276008493,0.6578463
son-monitor-postgres,0.014861995753716,1.3007252
son-catalogue-repos,2.09509357983015,23.712725
son-gtkvim,0.089171974522293,1.3166938
son-monitor-manager,0.040339702760085,0.9856341
son-monitor-pushgateway,50.2799304537155,100.164232
son-monitor-probe,2.30845995541401,9.855151
cloudservicelifecyclemanagement,0.931326639278132,2.3686585
son-validate,0.012738853503185,0.6587323
functionlifecyclemanagement,3.83015034883227,7.6596083
son-gtkkpi,68.350318437155,100.999142
son-gtkrlt,0.072186836518047,1.6602062
son-redis,0.127388535031847,1.005732
placementexecutive,0,0
son-gtklic,0.010615711252654,0.6573703
son-mongo,0.348195327388535,4.593376
son-gtkrec,0.013334842887474,3.280711
specificmanagerregistry,0.002123142250531,0.6451206
son-sp-infrabstract,23.1267333012739,530.27208
wim-adaptor,0.05307855626327,1.0097635
